;Preço_hoje;Liquidez_media;P/L;P/VP;Dy 12m 2021;Dl/Pl_hoje;Lpa_2020;Lpa_2019;Setor;Sub_setor
ELEK3;19,11;-;24,46;2,66;-%;0,70;0,78;1,87;Materiais Básicos;Químicos
ELEK4;36,99;-;47,34;5,15;-%;0,70;0,78;1,87;Materiais Básicos;Químicos
ELET3;35,14;148.887.366,20;8,58;0,72;6,83%;0,33;4,04;7,91;Utilidade Pública;Energia Elétrica
ELET5;65,00;6.500,00;15,88;1,34;4,82%;0,33;4,04;7,91;Utilidade Pública;Energia Elétrica
ELET6;34,55;79.582.409,40;8,44;0,71;7,64%;0,33;4,04;7,91;Utilidade Pública;Energia Elétrica
ELPL3;8,31;-;1,15;0,48;-%;1,57;4,97;3,88;Utilidade Pública;Energia Elétrica
EMAE3;25,35;-;3,77;1,16;32,77%;-0,37;5,37;2,51;Utilidade Pública;Energia Elétrica
EMAE4;55,38;404.114,44;8,24;2,54;16,50%;-0,37;5,37;2,51;Utilidade Pública;Energia Elétrica
EMBR3;20,30;197.898.972,72;-51,22;1,02;-%;0,69;-4,88;-1,78;Bens Industriais;Material de Transporte
ENAT3;14,56;21.157.770,44;6,11;1,12;1,33%;-0,43;-;0,81;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis
ENBR3;21,26;78.087.220,04;6,02;1,12;4,70%;0,74;2,49;2,20;Utilidade Pública;Energia Elétrica
ENEV3;14,67;76.782.474,92;13,56;2,17;-%;0,67;3,19;1,91;Utilidade Pública;Energia Elétrica
ENGI11;45,62;100 %;6,80;1,89;3,84%;1,90;4,05;1,25;Utilidade Pública;Energia Elétrica
ENGI3;16,48;119.552,20;12,28;3,42;2,12%;1,90;0,81;0,25;Utilidade Pública;Energia Elétrica
ENGI4;7,25;162.578,52;5,40;1,50;4,83%;1,90;0,81;0,25;Utilidade Pública;Energia Elétrica
ENJU3;3,27;8.616.439,80;-6,23;1,43;-%;-0,93;-0,16;-;Tecnologia da Informação;Programas e Serviços
ENMA3B;50,49;-;9,81;2,66;9,15%;0,37;4,27;4,68;Utilidade Pública;Energia Elétrica
ENMA6B;83,99;-;16,33;4,42;5,50%;0,37;4,27;4,68;Utilidade Pública;Energia Elétrica
ENMT3;79,67;86.083,40;15,12;6,26;6,89%;1,40;3,10;2,79;Utilidade Pública;Energia Elétrica
ENMT4;80,30;35.595,75;15,24;6,31;6,12%;1,40;3,10;2,79;Utilidade Pública;Energia Elétrica
EQPA3;5,03;30.774,40;11,82;3,08;12,13%;0,58;0,33;0,21;Utilidade Pública;Energia Elétrica
EQPA5;6,92;27.271,00;16,27;4,24;8,82%;0,58;0,33;0,21;Utilidade Pública;Energia Elétrica
EQPA6;10,48;-;24,63;6,42;5,82%;0,58;0,33;0,21;Utilidade Pública;Energia Elétrica
EQPA7;6,84;3.500,00;16,08;4,19;8,92%;0,58;0,33;0,21;Utilidade Pública;Energia Elétrica
EQTL3;23,35;170.541.918,36;6,42;1,98;3,08%;1,03;2,94;11,97;Utilidade Pública;Energia Elétrica
ESTR3;17,80;-;-0,74;-0,03;-%;-;-19,42;-50,56;Consumo Cíclico;Viagens e Lazer
ESTR4;67,18;13.062,40;-2,81;-0,11;-%;-;-19,42;-50,56;Consumo Cíclico;Viagens e Lazer
ETER3;17,34;24.934.623,72;3,18;1,98;-%;-0,41;3,07;-0,42;Bens Industriais;Construção e Engenharia
EUCA3;13,49;67.783,44;3,89;0,70;2,76%;0,21;1,56;0,71;Materiais Básicos;Madeira e Papel
EUCA4;9,30;694.784,72;2,68;0,48;4,40%;0,21;1,56;0,71;Materiais Básicos;Madeira e Papel
EVEN3;6,30;14.684.829,56;13,33;0,75;12,02%;-0,43;0,07;0,55;Consumo Cíclico;Construção Civil
EZTC3;19,56;51.839.326,32;8,93;1,01;2,17%;-0,23;1,79;1,41;Consumo Cíclico;Construção Civil
FBMC3;0,00;-;0,00;0,00;-%;-;-21,16;-21,16;Materiais Básicos;Siderurgia e Metalurgia
FBMC4;1,96;-;-0,09;-0,02;-%;-;-21,16;-21,16;Materiais Básicos;Siderurgia e Metalurgia
FESA3;50,00;23.042,00;9,95;2,02;1,93%;-0,03;0,79;2,50;Materiais Básicos;Siderurgia e Metalurgia
FESA4;49,40;26.484.628,64;9,83;2,00;2,15%;-0,03;0,79;2,50;Materiais Básicos;Siderurgia e Metalurgia
FHER3;21,21;47.603.758,84;4,02;12,63;-%;5,48;-3,70;12,13;Materiais Básicos;Químicos
FIGE3;0,00;-;0,00;0,00;-%;-;1,44;3,28;Financeiro e Outros;Outros
FIGE4;0,00;-;0,00;0,00;-%;-;1,44;3,28;Financeiro e Outros;Outros
FLEX3;0,00;-;0,00;0,00;-%;9,88;-7,27;-5,86;Bens Industriais;Serviços
FLRY3;18,80;40.902.303,04;14,28;3,29;4,59%;1,14;0,81;0,99;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos
FNCN3;15,22;2.533,00;-9,18;1,39;-%;-;-2,29;-0,69;Financeiro e Outros;Intermediários Financeiros
FRAS3;13,06;2.338.782,64;8,95;2,59;2,82%;0,57;0,87;0,40;Bens Industriais;Material de Transporte
FRIO3;50,59;8.887,00;-11,97;-1,84;-%;-;-37,05;5,31;Bens Industriais;Máquinas e Equipamentos
FRTA3;5,65;15.854,29;-1,05;-0,18;-%;-;1,08;0,30;Consumo não Cíclico;Agropecuária
FTRT3B;0,00;-;0,00;0,00;-%;0,00;0,00;0,00;Financeiro e Outros;Outros
GBIO33;10,40;-;-14,97;1,32;-%;0,25;-0,69;0,02;Saúde;Comércio e Distribuição
GEPA3;32,00;11.833,33;6,24;1,58;10,94%;0,60;7,43;2,61;Utilidade Pública;Energia Elétrica
GEPA4;31,70;21.542,75;6,18;1,57;11,04%;0,60;7,43;2,61;Utilidade Pública;Energia Elétrica
GFSA3;2,18;17.901.549,56;12,01;0,42;-%;0,42;-0,25;-0,11;Consumo Cíclico;Construção Civil
GGBR3;23,32;1.815.813,44;3,09;0,98;13,89%;0,21;1,38;0,70;Materiais Básicos;Siderurgia e Metalurgia
GGBR4;28,95;353.629.376,64;3,83;1,21;11,19%;0,21;1,38;0,70;Materiais Básicos;Siderurgia e Metalurgia
GMAT3;6,29;31.359.807,52;18,55;2,24;-%;0,06;0,33;-;Consumo não Cíclico;Comércio e Distribuição
GNDI3;63,40;256.700.241,80;-3.367,26;5,48;0,45%;0,27;1,21;0,80;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos
GOAU3;10,56;2.574.179,32;2,81;0,76;22,82%;0,47;0,80;0,43;Materiais Básicos;Siderurgia e Metalurgia
GOAU4;11,89;138.712.190,92;3,16;0,86;20,27%;0,47;0,80;0,43;Materiais Básicos;Siderurgia e Metalurgia
GOLL4;17,11;133.053.566,80;-12,37;-2,97;-%;-;-1,91;-0,04;Bens Industriais;Transporte
GPAR3;43,00;4.300,00;21,43;2,18;1,18%;-0,07;2,14;2,19;Utilidade Pública;Energia Elétrica
GPCP3;49,00;15.283.768,88;4,62;1,99;2,90%;0,33;3,80;3,98;Materiais Básicos;Químicos
GPCP4;45,51;221.227,00;3,88;1,67;3,67%;0,33;3,80;3,98;Materiais Básicos;Químicos
GPIV33;6,48;404.182,64;0,39;0,15;-%;-0,52;-5,20;2,21;Financeiro e Outros;Serviços Financeiros Diversos
GRND3;8,68;17.322.789,40;11,53;1,92;9,06%;-0,36;0,45;0,55;Consumo Cíclico;Tecidos. Vestuário e Calçados
GSHP3;36,70;43.748,77;-1,11;-0,11;-%;-;-245,20;-0,49;Financeiro e Outros;Exploração de Imóveis
GUAR3;10,77;11.261.240,68;10,41;1,04;0,56%;0,32;-0,05;1,19;Consumo Cíclico;Comércio
HAGA3;5,50;107.074,00;6,52;-0,99;-%;-;0,47;0,21;Bens Industriais;Construção e Engenharia
HAGA4;2,04;125.627,48;2,42;-0,37;-%;-;0,47;0,21;Bens Industriais;Construção e Engenharia
HAPV3;11,18;213.832.226,08;111,73;4,10;0,51%;-0,04;0,21;1,26;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos
HBOR3;4,58;6.957.401,00;5,78;0,46;1,04%;0,66;0,20;-;Consumo Cíclico;Construção Civil
HBRE3;9,20;169.020,21;-17,12;0,54;-%;0,26;-;-;Financeiro e Outros;Exploração de Imóveis
HBSA3;2,92;13.873.024,48;-19,31;1,56;-%;2,83;-0,14;0,08;Bens Industriais;Transporte
HBTS5;49,85;24.566,77;1,98;0,87;0,32%;0,11;0,16;-1,72;Financeiro e Outros;Exploração de Imóveis
HETA3;96,00;42.600,00;-0,28;-0,09;-%;-;-337,35;6,74;Consumo Cíclico;Utilidades Domésticas
HETA4;10,38;187.878,50;-0,03;-0,01;-%;-;-337,35;6,74;Consumo Cíclico;Utilidades Domésticas
HGTX3;37,50;109.503.605,67;101,99;3,57;0,87%;0,03;2,11;1,32;Consumo Cíclico;Tecidos. Vestuário e Calçados
HOOT3;0,00;-;0,00;0,00;-%;-;-4,94;-7,44;Consumo Cíclico;Hoteis e Restaurantes
HOOT4;2,83;32.248,72;-1,34;-0,11;-%;-;-4,94;-7,44;Consumo Cíclico;Hoteis e Restaurantes
HYPE3;28,71;91.886.058,28;14,07;1,88;4,24%;0,44;2,04;-;Saúde;Comércio e Distribuição
IDVL3;2,16;289.164,47;-0,99;0,93;-%;-;-2,18;-1,17;Financeiro e Outros;Intermediários Financeiros
IDVL4;2,67;89.696,16;-1,22;1,16;-%;-;-2,18;-1,17;Financeiro e Outros;Intermediários Financeiros
IGBR3;33,90;3.166.143,68;-0,46;-0,04;-%;-;-6,78;-5,16;Financeiro e Outros;Exploração de Imóveis
IGSN3;0,00;-;0,00;0,00;-%;1,41;-0,03;0,22;Utilidade Pública;Água e Saneamento
IGTA3;33,00;70.275.318,31;17,05;1,71;0,86%;0,54;1,15;1,76;Financeiro e Outros;Exploração de Imóveis
